,d_error_np,g_error_np,fake_acc_np,real_acc_np,num_ex_np
0,3.29766583442688,0.2661147117614746,87.5,100.0,32064
1,1.811072587966919,0.27603578567504883,76.5625,100.0,64064
2,2.973231077194214,0.3149273991584778,86.93714141845703,86.2971420288086,70000
3,2.636991024017334,0.44597944617271423,92.1875,68.75,102064
4,2.158069610595703,0.43025991320610046,76.5625,82.8125,134064
5,2.2143731117248535,0.3861059844493866,79.95999908447266,85.3471450805664,140000
6,1.0095176696777344,0.45195919275283813,73.4375,78.125,172064
7,1.528528094291687,0.5220174789428711,71.875,67.1875,204064
8,1.6694728136062622,0.4753247797489166,74.16143035888672,79.98999786376953,210000
9,1.3392341136932373,0.5171711444854736,62.5,85.9375,242064
10,1.3021371364593506,0.5493959188461304,75.0,75.0,274064
11,1.358883023262024,0.5340341925621033,68.97714233398438,76.82142639160156,280000
12,1.1613537073135376,0.5633432269096375,60.9375,78.125,312064
13,1.21120285987854,0.6026382446289062,54.6875,84.375,344064
14,1.1743577718734741,0.5711043477058411,64.80571746826172,74.8885726928711,350000
15,1.2738323211669922,0.6041271090507507,73.4375,53.125,382064
16,1.0727618932724,0.5627992153167725,71.875,68.75,414064
17,1.080757737159729,0.59498131275177,63.181427001953125,72.47000122070312,420000
18,1.0332911014556885,0.6304190158843994,73.4375,57.8125,452064
19,1.0592846870422363,0.6246243715286255,71.875,50.0,484064
20,1.012186884880066,0.6102679967880249,61.0528564453125,71.61571502685547,490000
21,0.9614728689193726,0.5758309960365295,62.5,70.3125,522064
22,0.8914068937301636,0.6713893413543701,51.5625,67.1875,554064
23,0.9540204405784607,0.6270419359207153,58.76142883300781,69.9414291381836,560000
24,0.8719630241394043,0.6510254144668579,59.375,62.5,592064
25,0.8007450103759766,0.62758469581604,59.375,60.9375,624064
26,0.9153701066970825,0.6367201209068298,57.012855529785156,69.44857025146484,630000
27,0.8714431524276733,0.6528847813606262,45.3125,71.875,662064
28,0.7322167158126831,0.6638481616973877,64.0625,60.9375,694064
29,0.8738994002342224,0.6478538513183594,55.441429138183594,68.16857147216797,700000
30,0.8501391410827637,0.6429269313812256,59.375,70.3125,732064
31,0.8784017562866211,0.6503980159759521,57.8125,67.1875,764064
32,0.8470921516418457,0.655035138130188,54.47571563720703,66.9671401977539,770000
33,0.8369565010070801,0.6322439312934875,56.25,79.6875,802064
34,0.8414428234100342,0.6329121589660645,56.25,71.875,834064
35,0.8340566158294678,0.6581348776817322,53.521427154541016,66.85285949707031,840000
36,0.8220584392547607,0.6504117250442505,54.6875,75.0,872064
37,0.8152610063552856,0.6497858166694641,46.875,76.5625,904064
38,0.8270546793937683,0.6592302918434143,53.514286041259766,66.5199966430664,910000
39,0.7915962934494019,0.6903406381607056,67.1875,57.8125,942064
40,0.83962082862854,0.6504906415939331,50.0,71.875,974064
41,0.8172786831855774,0.6619815826416016,52.540000915527344,66.25428771972656,980000
